Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00004"
"0.10000","-0.00182","-0.00020"
"0.20000","-0.00578","-0.00017"
"0.30000","-0.00944","0.00001"
"0.40000","-0.01300","-0.00014"
"0.50000","-0.01640","-0.00008"
"0.60000","-0.01960","-0.00015"
"0.70000","-0.02302","-0.00008"
"0.80000","-0.02632","0.00005"
"0.90000","-0.02970","-0.00003"
"1.00000","-0.03316","-0.00007"
"1.10000","-0.03634","-0.00022"
"1.20000","-0.03964","-0.00026"
"1.30000","-0.04296","-0.00012"
"1.40000","-0.04624","-0.00003"
"1.50000","-0.04950","-0.00002"
"1.60000","-0.05258","-0.00013"
"1.70000","-0.05592","-0.00014"
"1.80000","-0.05928","-0.00007"
"1.90000","-0.06268","-0.00009"
"2.00000","-0.06600","-0.00019"
"2.10000","-0.06920","-0.00015"
"2.20000","-0.07258","-0.00019"
"2.30000","-0.07594","-0.00023"
"2.40000","-0.07930","-0.00022"
"2.50000","-0.08268","-0.00012"
"2.60000","-0.08576","-0.00014"
"2.70000","-0.08904","-0.00010"
"2.80000","-0.09244","-0.00018"
"2.90000","-0.09582","-0.00028"
"3.00000","-0.09906","-0.00035"
"3.10000","-0.10226","-0.00030"
"3.20000","-0.10556","-0.00027"
"3.30000","-0.10896","-0.00020"
"3.40000","-0.11234","-0.00017"
"3.50000","-0.11564","-0.00036"
"3.60000","-0.11882","-0.00026"
"3.70000","-0.12216","-0.00024"
"3.80000","-0.12556","-0.00036"
"3.90000","-0.12888","-0.00037"
"4.00000","-0.13218","-0.00029"
"4.10000","-0.13532","-0.00034"
"4.20000","-0.13862","-0.00039"
"4.30000","-0.14200","-0.00044"
"4.40000","-0.14538","-0.00038"
"4.50000","-0.14860","-0.00037"
"4.60000","-0.15176","-0.00043"
"4.70000","-0.15512","-0.00045"
"4.80000","-0.15858","-0.00047"
"4.90000","-0.16198","-0.00053"
"5.00000","-0.16528","-0.00060"
"5.10000","-0.16840","-0.00051"
"5.20000","-0.17168","-0.00054"
"5.30000","-0.17508","-0.00056"
"5.40000","-0.17838","-0.00060"
"5.50000","-0.18168","-0.00045"
"5.60000","-0.18482","-0.00033"
"5.70000","-0.18816","-0.00052"
"5.80000","-0.19150","-0.00069"
"5.90000","-0.19492","-0.00050"
"6.00000","-0.19810","-0.00056"
"6.10000","-0.20136","-0.00060"
"6.20000","-0.20472","-0.00056"
"6.30000","-0.20808","-0.00063"
"6.40000","-0.21136","-0.00062"
"6.50000","-0.21468","-0.00061"
"6.60000","-0.21780","-0.00061"
"6.70000","-0.22110","-0.00055"
"6.80000","-0.22446","-0.00062"
"6.90000","-0.22778","-0.00067"
"7.00000","-0.23102","-0.00069"
"7.10000","-0.23422","-0.00082"
"7.20000","-0.23756","-0.00078"
"7.30000","-0.24098","-0.00062"
"7.40000","-0.24442","-0.00058"
"7.50000","-0.24758","-0.00075"
"7.60000","-0.25076","-0.00073"
"7.70000","-0.25408","-0.00086"
"7.80000","-0.25740","-0.00086"
"7.90000","-0.26078","-0.00074"
"8.00000","-0.26408","-0.00075"
"8.10000","-0.26714","-0.00091"
"8.20000","-0.27046","-0.00085"
"8.30000","-0.27388","-0.00084"
"8.40000","-0.27728","-0.00074"
"8.50000","-0.28058","-0.00076"
"8.60000","-0.28374","-0.00090"
"8.70000","-0.28712","-0.00085"
"8.80000","-0.29046","-0.00078"
"8.90000","-0.29388","-0.00089"
"9.00000","-0.29716","-0.00093"
"9.10000","-0.30022","-0.00099"
"9.20000","-0.30350","-0.00082"
"9.30000","-0.30690","-0.00099"
"9.40000","-0.31030","-0.00086"
"9.50000","-0.31362","-0.00095"
"9.60000","-0.31668","-0.00107"
"9.70000","-0.32002","-0.00111"
"9.80000","-0.32344","-0.00101"
"9.90000","-0.32692","-0.00111"
"10.00000","-0.33020","-0.00107"
"10.10000","-0.33328","-0.00117"
"10.20000","-0.33658","-0.00128"
"10.30000","-0.33998","-0.00120"
"10.40000","-0.34332","-0.00114"
"10.50000","-0.34662","-0.00124"
"10.60000","-0.34966","-0.00126"
"10.70000","-0.35298","-0.00127"
"10.80000","-0.35640","-0.00110"
"10.90000","-0.35978","-0.00126"
"11.00000","-0.36318","-0.00133"
"11.10000","-0.36630","-0.00137"
"11.20000","-0.36960","-0.00122"
"11.30000","-0.37306","-0.00117"
"11.40000","-0.37646","-0.00119"
"11.50000","-0.37974","-0.00122"
"11.60000","-0.38282","-0.00128"
"11.70000","-0.38608","-0.00143"
"11.80000","-0.38948","-0.00140"
"11.90000","-0.39288","-0.00137"
"12.00000","-0.39624","-0.00140"
"12.10000","-0.39934","-0.00139"
"12.20000","-0.40262","-0.00149"
"12.30000","-0.40602","-0.00149"
"12.40000","-0.40948","-0.00148"
"12.50000","-0.41288","-0.00153"
"12.60000","-0.41588","-0.00145"
"12.70000","-0.41914","-0.00146"
"12.80000","-0.42254","-0.00154"
"12.90000","-0.42594","-0.00164"
"13.00000","-0.42928","-0.00177"
"13.10000","-0.43238","-0.00174"
"13.20000","-0.43558","-0.00163"
"13.30000","-0.43900","-0.00162"
"13.40000","-0.44244","-0.00162"
"13.50000","-0.44574","-0.00175"
"13.60000","-0.44892","-0.00179"
"13.70000","-0.45208","-0.00172"
"13.80000","-0.45548","-0.00192"
"13.90000","-0.45890","-0.00186"
"14.00000","-0.46228","-0.00184"
"14.10000","-0.46532","-0.00170"
"14.20000","-0.46850","-0.00190"
"14.30000","-0.47190","-0.00192"
"14.40000","-0.47532","-0.00190"
"14.50000","-0.47868","-0.00190"
"14.60000","-0.48176","-0.00191"
"14.70000","-0.48500","-0.00202"
"14.80000","-0.48834","-0.00212"
"14.90000","-0.49180","-0.00213"
"14.99500","-0.49502","-0.00220"
"14.99600","-0.49504","-0.00219"
"15.09600","-0.49566","-0.00224"
"15.19600","-0.49558","-0.00204"
"15.29600","-0.49542","-0.00209"
"15.39600","-0.49524","-0.00209"
"15.49600","-0.49510","-0.00205"
"15.59600","-0.49502","-0.00199"
"15.69600","-0.49498","-0.00204"
"15.79600","-0.49494","-0.00198"
"15.89600","-0.49492","-0.00196"
"15.99600","-0.49490","-0.00191"
"16.09600","-0.49488","-0.00191"
"16.19600","-0.49488","-0.00194"
"16.29600","-0.49488","-0.00182"
"16.39600","-0.49488","-0.00187"
"16.49600","-0.49488","-0.00182"
"16.59600","-0.49488","-0.00183"
"16.69600","-0.49488","-0.00197"
"16.79600","-0.49488","-0.00192"
"16.89600","-0.49488","-0.00192"
"16.99600","-0.49488","-0.00184"
"17.09600","-0.49488","-0.00181"
"17.19600","-0.49488","-0.00184"
"17.29600","-0.49488","-0.00180"
"17.39600","-0.49490","-0.00186"
"17.49600","-0.49490","-0.00178"
"17.59600","-0.49490","-0.00179"
"17.69600","-0.49490","-0.00178"
"17.79600","-0.49490","-0.00182"
"17.89600","-0.49490","-0.00172"
"17.99600","-0.49490","-0.00181"
"18.09600","-0.49490","-0.00185"
"18.19600","-0.49490","-0.00183"
"18.29600","-0.49490","-0.00157"
"18.39600","-0.49490","-0.00156"
"18.49600","-0.49490","-0.00156"
"18.59600","-0.49490","-0.00173"
"18.69600","-0.49490","-0.00189"
"18.79600","-0.49490","-0.00179"
"18.89600","-0.49490","-0.00172"
"18.99600","-0.49490","-0.00165"
"19.09600","-0.49490","-0.00173"
"19.19600","-0.49490","-0.00163"
"19.29600","-0.49490","-0.00163"
"19.39600","-0.49490","-0.00171"
"19.49600","-0.49490","-0.00179"
"19.59600","-0.49490","-0.00171"
"19.69600","-0.49490","-0.00169"
"19.79600","-0.49490","-0.00172"
"19.89600","-0.49490","-0.00170"
"19.99600","-0.49490","-0.00186"
"20.09600","-0.49490","-0.00175"
"20.19600","-0.49490","-0.00165"
"20.29600","-0.49490","-0.00156"
"20.39600","-0.49490","-0.00149"
"20.49600","-0.49490","-0.00165"
"20.59600","-0.49490","-0.00177"
"20.69600","-0.49490","-0.00175"
"20.79600","-0.49490","-0.00171"
"20.89600","-0.49490","-0.00178"
"20.99600","-0.49490","-0.00165"
"21.09600","-0.49490","-0.00171"
"21.19600","-0.49490","-0.00158"
"21.29600","-0.49490","-0.00167"
"21.39600","-0.49490","-0.00156"
"21.49600","-0.49490","-0.00177"
"21.59600","-0.49490","-0.00168"
"21.69600","-0.49490","-0.00167"
"21.79600","-0.49490","-0.00165"
"21.89600","-0.49490","-0.00167"
"21.99600","-0.49490","-0.00172"
"22.09600","-0.49490","-0.00166"
"22.19600","-0.49490","-0.00156"
"22.29600","-0.49490","-0.00166"
"22.39600","-0.49490","-0.00171"
"22.49600","-0.49490","-0.00158"
"22.59600","-0.49490","-0.00162"
"22.69600","-0.49490","-0.00162"
"22.79600","-0.49490","-0.00166"
"22.89600","-0.49490","-0.00171"
"22.99600","-0.49490","-0.00162"
"23.09600","-0.49490","-0.00153"
"23.19600","-0.49490","-0.00149"
"23.29600","-0.49490","-0.00158"
"23.39600","-0.49490","-0.00164"
"23.49600","-0.49490","-0.00156"
"23.59600","-0.49490","-0.00154"
"23.69600","-0.49490","-0.00152"
"23.79600","-0.49490","-0.00157"
"23.89600","-0.49490","-0.00162"
"23.99600","-0.49490","-0.00163"
"24.09600","-0.49490","-0.00159"
"24.19600","-0.49490","-0.00159"
"24.29600","-0.49490","-0.00155"
"24.39600","-0.49490","-0.00147"
"24.49600","-0.49490","-0.00150"
"24.59600","-0.49490","-0.00161"
"24.69600","-0.49490","-0.00168"
"24.79600","-0.49490","-0.00168"
"24.89600","-0.49490","-0.00145"
"24.99600","-0.49490","-0.00144"
"25.09600","-0.49490","-0.00154"
"25.19600","-0.49490","-0.00154"
"25.29600","-0.49490","-0.00156"
"25.39600","-0.49490","-0.00157"
